"Station" "Month" "Latitude" "Longitude" "Chla" "Temp" "X" "reg_Temp" "reg_Chla"
"1" "120" 2014-01-01 51.185 2.70116667 1.2851470708847 8.55970001220703 1 8.55970001220703 1.2851470708847
"2" "120" 2014-03-01 51.185 2.70116667 5.7663402557373 8.81384992599487 3 8.81384992599487 5.7663402557373
"3" "120" 2014-04-01 51.185 2.70116667 5.98662757873535 11.4449996948242 4 11.4449996948242 5.98662757873535
"4" "120" 2014-05-01 51.185 2.70116667 2.75142979621887 14.9555997848511 5 14.9555997848511 2.75142979621887
"5" "120" 2014-06-01 51.185 2.70116667 14.1761264801025 18.7362995147705 6 18.7362995147705 14.1761264801025
"6" "120" 2014-07-01 51.185 2.70116667 3.18698453903198 NA 7 18.3021001815796 3.18698453903198
"7" "120" 2014-08-01 51.185 2.70116667 2.39296221733093 17.8679008483887 8 17.8679008483887 2.39296221733093
"8" "120" 2014-10-01 51.185 2.70116667 3.13193964958191 15.1382999420166 10 15.1382999420166 3.13193964958191
"9" "120" 2014-11-01 51.185 2.70116667 1.5875529050827 12.3073997497559 11 12.3073997497559 1.5875529050827
"10" "120" 2014-12-01 51.185 2.70116667 1.37591910362244 8.68920040130615 12 8.68920040130615 1.37591910362244
"11" "120" 2015-02-01 51.185 2.70116667 2.55304956436157 NA 14 9.82520008087157 2.55304956436157
"12" "120" 2015-03-01 51.185 2.70116667 6.08717489242554 NA 15 10.3931999206543 6.08717489242554
"13" "120" 2015-04-01 51.185 2.70116667 NA 10.961199760437 16 10.961199760437 6.16364002227783
"14" "120" 2015-05-01 51.185 2.70116667 NA 13.2599000930786 17 13.2599000930786 6.24010515213013
"15" "120" 2015-06-01 51.185 2.70116667 6.31657028198242 16.5786991119385 18 16.5786991119385 6.31657028198242
"16" "120" 2015-07-01 51.185 2.70116667 2.14696884155273 19.0081996917725 19 19.0081996917725 2.14696884155273
"17" "120" 2015-08-01 51.185 2.70116667 1.82861030101776 NA 20 17.1909163792928 1.82861030101776
"18" "120" 2015-09-01 51.185 2.70116667 5.83483982086182 NA 21 15.3736330668132 5.83483982086182
"19" "120" 2015-10-01 51.185 2.70116667 3.33868837356567 NA 22 13.5563497543335 3.33868837356567
"20" "120" 2015-11-01 51.185 2.70116667 1.68851506710052 NA 23 11.7390664418539 1.68851506710052
"21" "120" 2015-12-01 51.185 2.70116667 NA NA 24 9.92178312937419 1.67136436700821
"22" "120" 2016-01-01 51.185 2.70116667 1.65421366691589 8.10449981689453 25 8.10449981689453 1.65421366691589
"23" "120" 2016-02-01 51.185 2.70116667 2.1842999458313 6.91056620373445 26 6.91056620373445 2.1842999458313
"24" "120" 2016-03-01 51.185 2.70116667 7.28345966339111 7.76151650746663 27 7.76151650746663 7.28345966339111
"25" "120" 2016-04-01 51.185 2.70116667 NA 9.70985015233358 28 9.70985015233358 4.91877460479736
"26" "120" 2016-05-01 51.185 2.70116667 2.55408954620361 12.4245750904084 29 12.4245750904084 2.55408954620361
"27" "120" 2016-06-01 51.185 2.70116667 7.68932628631592 15.779785938752 30 15.779785938752 7.68932628631592
"28" "120" 2016-07-01 51.185 2.70116667 3.97175264358521 19.7160005569458 31 19.7160005569458 3.97175264358521
"29" "120" 2016-08-01 51.185 2.70116667 4.09658718109131 19.4425440894233 32 19.4425440894233 4.09658718109131
"30" "120" 2016-09-01 51.185 2.70116667 2.81236815452576 19.0958499908447 33 19.0958499908447 2.81236815452576
"31" "120" 2016-10-01 51.185 2.70116667 3.50111150741577 13.5941272247128 34 13.5941272247128 3.50111150741577
"32" "120" 2016-11-01 51.185 2.70116667 0.981459140777588 10.7358001708984 35 NA NA
"33" "120" 2016-12-01 51.185 2.70116667 2.06611585617065 7.78165975342626 36 NA NA
"34" "120" 2017-03-01 51.185 2.70116667 7.15038156509399 NA 39 NA NA
"35" "120" 2014-02-01 51.185 2.70116667 NA NA 2 8.68677496910095 3.525743663311
"36" "120" 2014-09-01 51.185 2.70116667 NA NA 9 16.5031003952027 2.76245093345642
"37" "120" 2015-01-01 51.185 2.70116667 NA NA 13 9.25720024108886 1.96448433399201
"38" "130" 2014-01-01 51.27083333 2.905 10.1400327682495 7.96610021591187 1 7.96610021591187 10.1400327682495
"39" "130" 2014-03-01 51.27083333 2.905 19.3528747558594 8.41965007781982 3 8.41965007781982 19.3528747558594
"40" "130" 2014-04-01 51.27083333 2.905 21.8084297180176 11.0592002868652 4 11.0592002868652 21.8084297180176
"41" "130" 2014-05-01 51.27083333 2.905 7.25651836395264 15.8783001899719 5 15.8783001899719 7.25651836395264
"42" "130" 2014-06-01 51.27083333 2.905 15.5820770263672 18.6550998687744 6 18.6550998687744 15.5820770263672
"43" "130" 2014-07-01 51.27083333 2.905 3.65558362007141 20.2991008758545 7 20.2991008758545 3.65558362007141
"44" "130" 2014-08-01 51.27083333 2.905 5.44136762619019 17.0163993835449 8 17.0163993835449 5.44136762619019
"45" "130" 2014-09-01 51.27083333 2.905 2.97451877593994 17.5774002075195 9 17.5774002075195 2.97451877593994
"46" "130" 2014-10-01 51.27083333 2.905 6.83463096618652 14.7482995986938 10 14.7482995986938 6.83463096618652
"47" "130" 2014-11-01 51.27083333 2.905 1.29498267173767 11.9630002975464 11 11.9630002975464 1.29498267173767
"48" "130" 2014-12-01 51.27083333 2.905 1.49282729625702 8.16329956054688 12 8.16329956054688 1.49282729625702
"49" "130" 2015-02-01 51.27083333 2.905 1.17974853515625 5.08559989929199 14 5.08559989929199 1.17974853515625
"50" "130" 2015-03-01 51.27083333 2.905 34.2127075195312 6.64779996871948 15 6.64779996871948 34.2127075195312
"51" "130" 2015-04-01 51.27083333 2.905 31.1404457092285 10.9547004699707 16 10.9547004699707 31.1404457092285
"52" "130" 2015-05-01 51.27083333 2.905 10.5808696746826 13.691499710083 17 13.691499710083 10.5808696746826
"53" "130" 2015-06-01 51.27083333 2.905 4.41176795959473 16.7518997192383 18 16.7518997192383 4.41176795959473
"54" "130" 2015-07-01 51.27083333 2.905 2.87563705444336 19.7653999328613 19 19.7653999328613 2.87563705444336
"55" "130" 2015-08-01 51.27083333 2.905 2.71342158317566 NA 20 17.7550749381383 2.71342158317566
